Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2645,72,11,190,34,1727,233,218,116,4848,Rawah,C4744,1
2713,246,18,30,4,2168,179,251,207,781,Commanche,C7202,1
2891,15,16,90,9,1915,204,205,135,1974,Commanche,C7757,1
3317,353,20,95,28,1855,181,200,154,1937,Neota,C7202,0
2579,353,27,60,0,1790,163,182,150,1338,Commanche,C4703,1
2949,123,11,379,36,3778,239,232,122,4322,Rawah,C4744,1
2805,78,12,30,6,1084,235,219,114,2167,Commanche,C6102,1
3107,162,7,242,-14,1784,227,242,148,2185,Rawah,C7746,1
2716,15,11,30,2,1260,211,218,143,2406,Commanche,C4704,1
2727,205,14,108,28,3717,211,252,173,1998,Commanche,C7702,1
2931,124,24,212,54,5094,252,214,76,285,Rawah,C7746,1
2742,81,6,395,34,1537,229,229,134,1714,Rawah,C7745,1
3216,347,13,825,120,1339,196,219,162,2345,Commanche,C7756,0
2936,45,12,382,14,4724,223,214,123,3288,Rawah,C7202,0
3138,261,10,134,8,330,195,246,189,2761,Neota,C7201,0
2920,30,11,127,10,474,216,215,133,1532,Commanche,C7700,1
2916,135,18,228,43,5287,245,229,106,4148,Rawah,C7745,1
3202,199,9,95,5,5475,217,248,166,1082,Rawah,C7745,0
2749,155,4,124,0,2804,224,240,150,2183,Rawah,C4744,1
3182,57,5,658,59,1129,223,229,142,2313,Commanche,C7756,0
2954,29,16,30,2,323,213,204,123,391,Commanche,C7757,1
2013,293,36,95,65,285,101,207,234,553,Cache,C4703,2
2895,122,3,417,40,2868,225,237,147,2263,Rawah,C7202,1
3300,124,7,426,120,5307,232,235,136,1170,Rawah,C7745,1
3418,57,16,371,69,3187,229,206,105,1422,Commanche,C8772,6
2991,186,21,120,32,4073,218,249,154,2184,Rawah,C7746,1
2939,281,9,60,7,4774,196,241,185,6082,Rawah,C4744,1
3022,98,24,120,15,5040,250,199,63,2739,Rawah,C7745,1
2541,336,27,108,35,1765,152,193,174,1800,Commanche,C4703,1
3239,357,14,990,222,2060,197,213,153,2221,Commanche,C7700,6
3007,64,9,150,35,2160,229,221,125,2591,Commanche,C7756,0
2651,48,22,458,-76,1371,223,187,88,4061,Rawah,C7745,1
2734,67,25,384,118,1511,236,182,63,859,Rawah,C7746,1
3044,124,5,0,0,2561,229,236,140,3849,Rawah,C7202,0
3247,52,14,295,32,1836,226,208,112,2448,Rawah,C8772,0
2396,79,11,127,21,256,234,220,117,295,Commanche,C2704,5
3255,166,10,212,15,3302,229,244,145,1266,Commanche,C7756,1
3157,3,12,543,49,1781,204,217,150,2621,Commanche,C7755,0
3190,327,17,124,26,2490,176,218,181,2761,Commanche,C7700,0
2998,96,10,42,7,2792,236,226,121,6401,Rawah,C7745,0
2908,278,43,459,259,2049,74,205,249,1381,Commanche,C4758,1
2992,90,3,60,11,1064,225,234,145,1634,Commanche,C7202,1
2917,123,16,190,54,2831,245,226,104,1842,Rawah,C7745,1
3116,175,12,67,5,480,226,246,151,2115,Rawah,C7202,0
3100,286,18,42,6,3092,167,237,208,1423,Commanche,C7202,1
2434,50,20,30,14,792,224,191,92,1406,Commanche,C4703,5
3212,266,22,180,79,2822,160,243,219,1150,Commanche,C7757,0
2499,7,8,67,13,1071,210,224,151,4396,Rawah,C6731,1
2918,3,17,577,49,2192,195,206,146,1471,Commanche,C7755,1
3019,10,13,484,176,2052,206,213,144,2870,Commanche,C7756,1
2599,90,11,212,45,684,237,223,116,3037,Rawah,C7745,1
3223,26,13,270,11,2676,213,211,132,1256,Commanche,C7201,0
3222,334,20,391,81,3811,170,209,176,2045,Commanche,C7755,0
2928,313,11,524,44,1326,189,231,182,1259,Commanche,C7756,1
3058,120,12,175,29,488,240,230,118,1248,Rawah,C7202,0
3330,193,20,170,36,2249,213,252,164,3632,Neota,C7756,0
3033,50,18,577,223,875,225,199,101,967,Commanche,C7757,1
3123,172,19,1114,176,3141,229,245,140,1822,Commanche,C7757,1
2535,7,11,0,0,150,207,218,148,1746,Rawah,C6101,1
2769,309,13,0,0,2143,184,231,187,787,Commanche,C7755,4
2935,56,13,30,5,5576,228,213,116,1606,Rawah,C7202,0
2926,207,8,228,40,1963,215,247,168,1764,Commanche,C7202,0
3232,149,29,497,75,1024,243,224,89,1199,Commanche,C7709,1
3312,307,17,0,0,3503,170,227,197,1567,Rawah,C8772,0
3375,65,12,604,105,1221,232,215,113,2663,Commanche,C7756,0
3147,122,13,242,69,192,242,229,114,2362,Neota,C7756,0
3137,169,11,127,10,3155,228,245,0,1332,Commanche,C7202,1
2723,35,4,192,28,2053,219,231,148,6244,Rawah,C4744,1
3450,152,12,513,-2,1465,235,240,134,3813,Neota,C8771,0
2566,171,8,60,3,1429,226,244,151,1036,Commanche,C2705,2
3110,21,3,430,35,1892,217,232,152,2822,Commanche,C7756,0
2459,188,14,153,-35,1126,220,250,160,1438,Commanche,C2705,2
1981,60,34,272,114,300,224,151,33,947,Cache,C2704,2
3315,270,2,466,87,4005,213,240,165,1325,Rawah,C8776,0
2784,43,16,153,29,1230,221,204,113,825,Commanche,C7755,1
2280,342,26,201,32,782,157,191,167,1033,Cache,C4703,5
2929,196,6,90,16,5038,219,245,162,4178,Rawah,C7745,1
3243,39,9,201,17,4534,221,219,133,1456,Rawah,C7202,0
3269,202,26,0,0,2529,198,252,175,3666,Neota,C7757,0
2467,334,16,582,77,1218,182,217,174,497,Cache,C2717,2
3014,45,13,470,167,5596,223,210,119,5027,Rawah,C4744,1
2887,62,13,424,128,1485,230,214,114,1620,Commanche,C7756,1
3223,292,4,421,39,459,207,239,170,1505,Commanche,C7756,1
2898,70,21,481,-29,698,237,195,79,2374,Rawah,C7745,1
2655,46,22,339,63,819,221,188,92,2898,Rawah,C7745,1
2874,49,10,127,26,1325,224,218,127,2320,Commanche,C7755,1
2819,56,20,424,128,424,229,194,90,2525,Rawah,C7700,1
3193,184,3,516,-20,569,220,241,157,2287,Commanche,C7202,1
3047,172,2,600,27,4556,220,239,156,1401,Rawah,C7745,1
3051,70,7,720,-131,1499,228,226,132,953,Rawah,C7745,0
2726,36,12,124,13,2124,219,213,128,1395,Rawah,C4744,1
2532,54,4,300,3,1209,222,230,143,4836,Rawah,C6731,1
2958,337,26,350,38,2897,156,195,173,391,Commanche,C7757,0
2962,102,15,108,8,2186,243,220,102,842,Rawah,C7745,0
2880,323,16,85,10,4053,178,222,183,5984,Rawah,C7745,1
3006,278,15,630,372,1663,177,241,203,1768,Commanche,C7757,1
2542,60,10,390,16,757,228,219,123,3636,Rawah,C6731,1
2731,29,9,182,4,2665,217,221,139,4975,Rawah,C4744,1
3351,307,21,792,171,942,158,223,203,466,Neota,C7757,0
3010,327,11,270,26,4057,192,227,174,1554,Rawah,C7202,1
3124,163,13,134,10,2257,232,243,140,258,Commanche,C7755,0
3277,105,19,421,-7,1455,249,212,84,2022,Rawah,C7745,0
2768,354,11,474,97,2780,201,220,157,1442,Commanche,C7756,1
2548,213,29,134,48,1172,180,252,192,1262,Commanche,C2704,2
3341,9,14,430,102,3240,204,212,144,2407,Commanche,C7756,6
3075,300,4,481,32,570,209,238,168,674,Neota,C7202,1
2942,347,13,216,27,1452,196,219,162,703,Commanche,C7755,1
2038,318,19,469,61,564,167,220,191,379,Cache,C2706,2
3341,158,31,240,112,3880,236,227,97,3087,Commanche,C7757,0
2445,153,12,547,139,875,234,241,136,1131,Cache,C2704,2
2689,27,14,170,24,3446,213,209,129,3120,Commanche,C4703,0
3205,170,13,457,89,2701,229,245,146,2988,Commanche,C7757,1
2914,88,20,162,-38,242,245,204,80,1120,Rawah,C7746,1
2911,279,5,301,85,1022,207,240,172,1693,Commanche,C4704,1
2619,259,25,85,33,1358,151,244,226,1423,Commanche,C2704,2
3266,359,13,474,59,964,199,215,152,2124,Rawah,C8772,6
3244,358,11,323,46,966,202,219,154,1433,Neota,C7700,0
2954,129,10,421,24,2691,236,234,128,2475,Commanche,C7702,1
2388,272,20,150,47,95,162,241,216,648,Cache,C4703,2
2924,334,9,108,19,4200,199,228,168,4080,Rawah,C7745,1
2560,354,18,420,146,182,186,205,155,769,Cache,C4703,1
2962,0,13,234,54,4273,201,216,152,2290,Rawah,C7746,1
2836,165,14,150,25,3037,232,244,140,2080,Rawah,C7746,1
3088,297,23,541,109,6139,149,225,213,1599,Rawah,C7745,1
2313,241,7,30,-1,524,206,246,178,451,Cache,C2704,2
2959,148,9,331,84,4302,233,239,138,1687,Rawah,C4744,1
2859,38,21,175,51,4173,215,188,99,1065,Rawah,C7745,1
3414,83,10,324,85,1104,234,223,120,3983,Neota,C8703,0
3262,71,16,210,47,1851,236,208,99,2324,Rawah,C8772,0
2917,278,14,90,16,3681,180,241,201,4842,Rawah,C7745,1
2953,158,17,365,71,781,236,240,128,1935,Commanche,C7757,1
2958,87,15,582,162,1074,241,214,98,1034,Rawah,C7745,1
2959,257,12,335,43,5380,192,247,193,3805,Rawah,C7745,1
3111,306,26,120,-11,3245,140,215,211,2250,Rawah,C7202,0
3000,242,10,90,16,2896,200,249,186,458,Commanche,C7756,1
3261,15,18,594,97,2697,202,201,132,3427,Commanche,C7756,6
3130,131,29,300,56,4286,252,210,65,808,Rawah,C7746,1
2683,172,16,474,75,618,229,246,143,30,Commanche,C2705,2
2913,45,2,481,-5,4453,220,234,150,4761,Rawah,C7202,1
3267,27,14,212,16,1749,213,208,128,4756,Neota,C7201,0
2597,80,20,60,27,2439,242,201,80,2506,Commanche,C4704,1
2778,344,10,124,13,3164,201,225,163,3046,Rawah,C7745,0
3124,26,34,124,19,912,185,148,79,1510,Rawah,C7745,0
3261,5,13,153,26,1567,203,214,148,918,Commanche,C8771,0
3129,232,11,90,13,6334,203,250,184,2376,Rawah,C7102,1
3173,229,21,201,38,750,184,254,201,4922,Neota,C7201,1
2941,174,11,42,9,1041,227,246,150,607,Commanche,C4758,0
3126,216,9,30,3,5328,211,249,173,1075,Rawah,C7745,0
2582,98,5,255,36,752,228,233,138,5380,Rawah,C7745,1
2782,31,13,150,47,1342,216,210,128,2627,Commanche,C4704,1
3098,125,26,134,36,2435,252,211,69,1471,Commanche,C7709,0
2778,95,21,124,21,2848,248,203,72,2128,Rawah,C7745,1
3276,48,19,180,38,4213,224,196,100,3550,Commanche,C7202,0
3084,197,11,335,61,2067,217,250,166,1676,Commanche,C7756,1
2754,127,5,180,18,912,228,237,143,513,Commanche,C4704,2
2919,77,17,108,23,5516,239,207,94,4100,Rawah,C7745,1
3038,31,4,95,-4,1489,219,230,148,2877,Rawah,C7202,0
2873,284,28,124,62,5190,133,228,229,4709,Rawah,C7700,0
3313,229,5,582,86,3807,212,245,169,2362,Rawah,C7202,0
3086,163,5,150,-6,3799,225,241,151,1110,Rawah,C7745,0
2929,295,14,30,1,2627,181,236,195,636,Commanche,C7103,0
3046,319,13,443,-74,1856,185,227,182,2001,Commanche,C7756,1
3278,150,26,638,176,531,243,228,98,4447,Neota,C7701,1
3101,111,18,120,24,3867,247,218,93,2212,Rawah,C7745,0
3271,183,5,1050,140,2173,221,243,157,2285,Commanche,C7755,0
2970,72,9,395,47,3582,231,222,123,2060,Rawah,C7745,1
3506,106,24,420,72,2596,252,202,64,2190,Rawah,C8776,0
3109,286,8,324,-8,2448,197,240,183,1760,Commanche,C7756,1
2869,208,22,212,112,3013,198,254,181,1332,Commanche,C2705,1
3095,315,7,30,1,2214,201,234,172,3148,Rawah,C7201,0
3097,277,17,685,60,2108,173,241,207,934,Commanche,C7756,1
3112,339,4,330,30,474,211,234,161,1537,Rawah,C7201,1
2869,200,26,450,165,644,199,252,173,1847,Commanche,C2705,4
3224,324,18,150,31,4272,171,217,185,2312,Commanche,C7756,0
3143,168,11,379,59,190,229,244,146,2067,Commanche,C7202,1
2334,113,8,150,51,1194,234,232,129,1044,Cache,C4704,5
2771,90,1,488,12,1695,221,236,151,883,Rawah,C4744,1
3026,143,5,212,4,3430,227,239,145,124,Rawah,C7745,1
2872,224,33,330,77,2164,159,249,208,1549,Commanche,C4758,1
3194,218,14,277,59,300,204,252,182,2710,Commanche,C4758,1
2421,38,17,300,95,960,218,202,114,1168,Cache,C2717,5
3116,287,7,85,3,1273,200,240,179,1426,Neota,C7700,0
2756,353,14,510,-29,659,196,215,157,677,Commanche,C4704,1
3259,206,19,330,52,1383,205,254,178,2713,Commanche,C7756,0
2298,333,18,42,16,1492,176,214,176,696,Cache,C4703,5
2251,80,14,120,4,1328,238,213,102,553,Cache,C2703,5
2856,249,28,624,140,3787,149,246,227,1507,Commanche,C4758,1
3054,158,7,85,9,2432,228,241,147,3739,Rawah,C7202,0
3322,291,8,285,54,3261,197,239,181,1740,Rawah,C8771,0
2489,312,12,240,57,603,186,231,184,1464,Cache,C2717,2
3045,182,8,60,-1,671,223,245,156,953,Commanche,C7202,1
3124,231,12,256,10,2481,201,251,186,484,Commanche,C7756,1
2988,63,20,323,72,4737,233,196,86,3704,Rawah,C7745,0
2757,59,10,134,15,660,228,220,125,2274,Commanche,C4704,1
2995,129,18,330,0,4344,247,226,101,2356,Rawah,C7745,1
2893,49,10,60,8,2419,224,218,127,218,Commanche,C4758,0
3315,169,16,579,36,4184,230,245,141,2144,Commanche,C8771,6
2718,315,17,153,64,2694,172,223,191,1200,Commanche,C4703,1
3127,67,21,323,104,2760,236,194,81,1008,Commanche,C7700,0
3301,191,8,390,77,3309,220,246,161,1994,Rawah,C7745,0
2972,350,12,108,17,3339,198,220,160,6318,Rawah,C7745,1
3055,45,3,0,0,3909,220,233,150,511,Rawah,C7101,0
3180,95,3,42,1,5406,224,235,147,2925,Rawah,C7202,1
3012,42,13,362,13,1033,222,211,122,1739,Commanche,C7756,0
2835,32,29,212,9,1100,199,163,82,1682,Commanche,C7700,1
3201,0,0,90,-3,3159,218,238,156,4830,Rawah,C8772,0
3051,291,8,484,91,708,197,239,181,720,Neota,C7201,1
2715,18,14,270,84,997,208,209,135,1950,Commanche,C7755,1
3137,356,22,301,42,5603,180,196,150,1235,Rawah,C7102,0
3142,346,16,330,105,2255,186,212,163,997,Commanche,C7757,0
2648,58,15,277,1,1110,230,208,108,175,Rawah,C7202,1
2980,247,5,484,4,5247,209,244,173,1621,Rawah,C7202,1
2986,321,12,210,51,1530,189,228,179,1511,Commanche,C7755,1
2827,217,18,351,-18,1524,198,254,187,871,Commanche,C4758,1
3004,228,12,319,-47,2028,203,251,184,964,Commanche,C7755,1
3301,45,3,722,256,3653,220,232,149,2089,Commanche,C7756,0
3067,34,14,162,9,990,217,210,125,1785,Commanche,C7201,0
2559,138,20,150,37,1158,246,228,100,1748,Commanche,C2705,2
2908,260,7,150,36,1140,204,244,178,1793,Rawah,C7745,1
2771,139,32,192,104,1355,248,210,64,816,Commanche,C7756,1
2084,328,28,42,21,604,142,196,187,785,Cache,C4703,5
3276,18,8,0,0,3252,214,223,145,2538,Commanche,C7202,6
3086,308,15,268,52,2773,177,229,192,5933,Rawah,C7745,1
2579,54,17,210,-24,1198,228,203,103,390,Rawah,C7201,0
3095,326,2,295,18,2589,215,237,160,1885,Commanche,C7756,0
3071,325,13,0,0,3131,187,225,178,525,Rawah,C7745,0
3127,257,13,319,5,1867,189,247,197,805,Commanche,C7756,0
3023,283,16,589,-97,1748,173,239,205,1812,Commanche,C7757,1
2708,285,20,67,23,1452,161,236,213,1415,Commanche,C4758,1
3154,246,17,300,44,1307,182,251,205,2554,Commanche,C7757,0
3097,172,2,361,20,2506,220,239,156,2032,Commanche,C7756,0
3004,346,9,30,6,6161,203,226,161,3318,Rawah,C7102,1
2259,284,18,162,50,700,168,237,208,552,Cache,C2717,2
2133,320,31,108,58,1437,126,193,199,742,Cache,C4703,2
2978,229,13,319,59,5449,199,252,188,3262,Rawah,C7745,1
2716,62,5,255,27,242,224,230,142,932,Commanche,C4704,4
3027,53,18,551,217,904,227,199,99,964,Commanche,C7757,1
2458,221,18,134,54,947,196,254,190,1316,Commanche,C2704,2
2844,77,8,268,63,4080,231,225,127,5222,Rawah,C7746,1
2998,90,9,108,17,2160,233,227,125,1113,Commanche,C7756,1
3363,1,12,0,0,2440,203,218,152,1273,Commanche,C8772,6
3070,79,1,108,3,3307,220,236,152,1294,Rawah,C7202,1
2988,213,10,573,69,5598,212,249,173,3867,Rawah,C7745,1
2653,88,8,331,4,350,233,227,126,1209,Rawah,C4744,1
2766,101,4,210,8,2588,226,234,144,6074,Rawah,C4744,1
2961,310,21,404,140,4878,159,221,200,331,Rawah,C7745,1
2968,169,4,67,6,5564,222,241,154,2154,Rawah,C7202,1
3163,13,16,755,146,1783,203,207,138,2505,Commanche,C7755,0
3101,119,11,268,46,1954,239,231,121,1867,Commanche,C4758,1
3163,3,14,488,56,5710,200,213,149,771,Rawah,C7745,0
2886,137,10,335,58,1057,235,237,132,2525,Commanche,C7757,1
3202,298,7,582,55,2681,200,238,177,150,Commanche,C7202,0
3129,24,10,247,33,5563,215,218,140,926,Rawah,C7101,0
2768,69,9,182,12,1974,230,222,125,1652,Rawah,C7745,1
2830,231,6,201,34,2110,210,246,172,2106,Commanche,C7702,1
2304,298,21,192,89,277,155,227,210,582,Cache,C2703,1
3035,193,17,446,195,1103,216,251,164,495,Commanche,C4758,1
2907,155,17,170,23,323,237,239,126,942,Commanche,C4758,4
3185,98,5,175,10,3529,228,233,138,4549,Rawah,C7745,0
3093,146,3,268,16,2524,224,239,150,1965,Commanche,C7756,0
2748,59,7,510,124,1541,226,226,134,661,Rawah,C7202,1
2904,267,4,514,24,3798,209,241,170,3369,Rawah,C4744,1
2822,57,16,30,10,942,229,206,105,1883,Rawah,C7746,0
3182,127,10,108,7,1674,237,234,127,1631,Neota,C7101,0
2695,91,18,85,19,1800,245,208,86,201,Commanche,C7757,0
2926,350,13,661,175,983,197,218,159,2736,Commanche,C7756,1
3358,356,28,268,76,2362,163,178,144,2315,Neota,C7757,1
2792,141,14,42,2,4472,240,236,123,4986,Rawah,C7746,1
3260,260,16,787,125,750,181,247,204,2707,Commanche,C7756,1
3073,34,9,95,9,2666,219,221,138,1785,Commanche,C7756,0
3068,124,3,277,10,1172,225,237,146,1626,Rawah,C7745,1
2951,27,13,150,34,2151,214,211,130,2131,Commanche,C7756,0
2954,182,7,150,12,1739,223,245,156,2163,Commanche,C7757,1
2931,355,20,85,16,664,183,201,152,1266,Commanche,C7700,1
2191,354,27,120,58,474,165,182,148,361,Cache,C4703,5
2760,195,21,192,61,847,210,252,166,2012,Commanche,C2705,4
3143,13,16,162,30,4213,203,206,137,1666,Rawah,C7202,0
2970,162,8,60,-2,1590,229,242,146,1277,Rawah,C7745,1
2808,56,26,85,7,258,227,176,0,1542,Rawah,C7746,4
3152,4,3,481,111,1234,215,233,155,1104,Commanche,C7756,1
3321,59,15,30,-4,2423,230,207,106,4096,Neota,C8703,0
3069,258,14,541,-51,2188,186,248,200,1601,Commanche,C7756,1
3304,18,14,361,46,1892,208,209,135,2469,Rawah,C8772,0
2290,340,23,60,15,319,166,201,169,446,Cache,C4703,2
3340,190,17,618,107,4412,218,251,161,2372,Commanche,C8771,6
2789,55,14,30,11,1879,228,210,112,1790,Commanche,C7757,4
2910,129,23,201,105,932,251,218,82,510,Rawah,C7201,1
3305,114,12,420,-24,1445,241,228,115,2084,Rawah,C7201,0
2828,206,24,153,0,1706,196,253,180,1052,Commanche,C4758,1
3070,86,12,470,-42,4039,237,221,113,4792,Rawah,C7745,1
2181,337,36,108,70,564,122,167,170,335,Cache,C4703,2
2777,325,16,319,80,1442,178,220,181,1361,Commanche,C7700,1
2517,73,30,335,158,700,238,170,41,785,Commanche,C4703,1
2965,285,13,558,34,2051,182,239,197,1065,Commanche,C7202,0
2907,81,6,192,59,488,229,229,134,277,Commanche,C7755,1
3010,111,11,242,68,3827,240,228,117,2657,Rawah,C7745,1
3273,193,17,551,71,2589,216,251,163,1390,Commanche,C7757,1
3065,89,9,513,-117,1677,234,225,122,1266,Rawah,C7202,1
2591,67,21,319,35,1132,236,193,80,1203,Commanche,C4703,1
2080,13,19,30,0,192,198,197,132,499,Cache,C5151,5
2902,77,21,285,120,1376,241,197,76,2075,Commanche,C7757,1
2785,170,20,90,14,730,230,244,136,2958,Commanche,C4704,1
2699,258,35,424,193,1020,119,235,241,1621,Commanche,C7710,1
2918,43,11,598,120,792,222,217,128,2256,Rawah,C4744,1
3255,110,23,0,0,5907,252,207,0,458,Rawah,C8771,0
2138,31,17,319,74,492,213,200,118,947,Cache,C2706,2
3324,170,16,335,65,3137,230,245,142,1265,Commanche,C7756,0
3265,110,5,175,7,6271,228,234,140,331,Rawah,C7201,0
3284,172,16,480,70,785,229,246,143,2618,Commanche,C7756,1
2751,24,5,175,28,2361,217,230,149,6322,Rawah,C7745,1
2834,329,17,42,10,2563,178,218,179,2208,Rawah,C7202,1
2925,20,13,408,44,3057,210,211,136,2120,Rawah,C7745,1
3253,133,11,295,12,2863,238,235,125,1129,Commanche,C7756,0
3142,305,14,957,374,1271,181,232,191,1262,Commanche,C7755,0
3330,12,18,342,91,3332,199,201,135,2236,Commanche,C8772,6
2303,321,28,162,11,1158,139,201,195,1082,Cache,C4703,2
3035,304,20,85,23,1920,160,225,204,1451,Commanche,C7202,0
2247,339,36,95,40,1456,122,165,168,997,Cache,C4703,2
2418,357,21,459,230,976,182,197,148,1092,Cache,C2717,2
2575,348,12,201,20,1040,197,220,161,2340,Commanche,C4704,1
3156,307,12,60,17,4481,186,233,186,3569,Rawah,C7745,0
3239,195,5,323,63,2685,219,244,161,1031,Commanche,C7756,0
3190,284,33,228,-45,3308,112,219,237,2103,Rawah,C7745,0
3316,41,9,400,93,3307,221,221,134,2833,Commanche,C7756,0
3361,204,11,42,2,4351,214,250,170,3456,Commanche,C7757,6
3172,236,15,295,9,3005,192,252,195,201,Commanche,C7756,1
3088,182,11,524,29,390,223,247,156,1235,Commanche,C7756,1
3167,339,9,216,-10,1062,200,227,166,807,Neota,C7700,0
3284,349,12,570,9,2382,197,219,160,819,Commanche,C7756,0
2773,36,12,277,0,1951,219,212,127,2359,Rawah,C4744,1
2926,161,16,240,71,499,235,242,133,977,Commanche,C7756,4
3300,302,9,646,116,638,195,236,181,1233,Neota,C7202,0
2555,69,10,190,39,1231,231,221,122,1173,Commanche,C2705,2
3263,179,12,485,61,2605,225,247,153,1332,Commanche,C7757,0
3138,317,13,95,11,3663,186,229,182,1230,Rawah,C7202,0
2999,324,8,180,22,1302,200,231,171,1746,Commanche,C7101,0
2555,343,21,295,37,933,173,204,166,1702,Commanche,C7757,1
3404,95,6,684,125,1914,229,231,136,1809,Rawah,C8703,6
2861,21,8,488,29,691,215,223,145,1362,Commanche,C4704,1
2897,77,16,162,28,1945,238,210,98,2116,Commanche,C7756,1
2885,90,5,306,53,750,228,231,137,1461,Commanche,C4704,4
3050,335,4,258,-18,2022,211,234,162,2069,Commanche,C7756,1
3180,83,11,518,142,451,236,220,114,1824,Rawah,C7202,1
2952,192,18,390,66,1710,216,251,163,1797,Commanche,C7757,1
3241,177,15,242,25,4358,226,247,150,2338,Commanche,C7757,0
2635,131,10,0,0,210,237,235,127,624,Rawah,C7202,1
2876,354,11,306,8,700,201,220,157,787,Commanche,C7756,1
2932,27,19,0,0,420,209,197,119,1620,Commanche,C7700,1
2868,28,9,85,9,3488,217,220,138,3367,Rawah,C7202,1
3099,43,18,840,-87,1689,221,198,106,2195,Commanche,C7757,0
3018,298,8,339,-7,1842,198,237,180,1599,Commanche,C7755,1
2806,183,23,60,13,1203,218,248,150,2907,Commanche,C2705,4
2962,42,7,0,0,1533,221,225,139,2143,Commanche,C7202,1
2985,0,5,150,9,1471,213,231,156,633,Commanche,C7756,1
3016,6,7,90,-12,726,212,226,152,1374,Commanche,C7202,1
3225,305,31,30,4,3627,122,207,217,1741,Rawah,C7745,0
3014,45,22,376,105,4425,220,187,91,4537,Rawah,C7745,0
2737,18,21,120,9,1127,199,192,123,1950,Commanche,C7700,1
3106,188,10,42,6,3171,221,248,159,5380,Rawah,C7746,0
3201,11,21,30,10,1832,192,192,131,2177,Commanche,C7757,0
2733,95,5,190,10,2242,229,232,138,6710,Rawah,C4744,1
2937,76,9,30,12,2095,231,224,126,2904,Commanche,C7101,1
3089,297,9,497,71,2888,195,237,182,774,Commanche,C7756,0
2566,263,31,150,73,966,130,237,237,1448,Commanche,C7710,1
3584,7,8,433,123,1827,210,224,151,1615,Neota,C8776,6
2891,352,7,182,42,2630,208,228,158,2634,Rawah,C7745,1
2455,294,23,285,-7,150,151,228,214,576,Cache,C4703,2
2924,248,33,342,102,2734,134,242,233,630,Commanche,C4758,1
3163,207,18,1120,168,3130,205,254,178,2089,Commanche,C7757,1
2727,145,19,331,148,1653,243,233,111,1116,Commanche,C2705,2
2565,62,11,424,119,594,230,217,119,1106,Commanche,C2703,5
2890,70,31,242,116,4213,235,164,37,752,Rawah,C7745,1
3068,309,9,30,7,2592,194,234,180,1879,Commanche,C7102,1
2919,359,16,792,189,335,194,209,150,1383,Commanche,C4703,1
3374,63,24,731,92,2372,233,184,71,2066,Rawah,C8776,0
2491,338,16,0,0,677,183,215,170,1276,Commanche,C4703,1
2998,172,7,600,81,5491,225,243,152,2876,Rawah,C7746,1
3050,169,20,371,61,2462,230,244,136,2925,Commanche,C7757,1
2802,37,9,60,1,1308,220,219,134,2475,Rawah,C7745,0
2364,266,20,424,123,150,165,244,216,1666,Cache,C4703,2
3290,347,8,90,10,4089,204,227,161,1614,Rawah,C7202,0
2845,113,6,0,0,324,231,234,136,1165,Commanche,C7757,4
3254,301,4,671,123,1826,208,238,168,2288,Commanche,C7755,0
2540,75,30,319,137,819,240,169,37,859,Commanche,C4703,1
2664,110,22,297,106,1350,251,210,75,591,Rawah,C7746,1
3035,91,13,182,36,5155,240,219,108,3302,Rawah,C7745,1
3040,297,2,272,0,3277,213,238,163,997,Commanche,C7756,1
3034,18,29,190,48,2201,185,167,105,4126,Rawah,C7745,0
2932,50,11,510,19,4469,225,216,124,4308,Rawah,C7202,1
3043,229,10,1201,195,3121,206,249,180,1189,Commanche,C7790,1
3029,85,18,180,18,1047,243,208,88,984,Rawah,C7745,0
3386,50,7,120,8,2589,224,225,136,2379,Rawah,C8772,6
3227,50,7,0,0,2364,224,224,135,2692,Rawah,C8771,0
3127,200,14,201,24,2208,214,251,169,779,Commanche,C7756,1
3115,16,22,474,133,371,195,187,122,1179,Commanche,C7700,0
3209,328,13,0,0,4300,188,224,175,485,Commanche,C7756,0
2957,32,9,228,70,2071,218,221,139,2391,Commanche,C7756,1
3231,90,2,319,14,330,222,236,150,1406,Commanche,C7756,1
3306,36,10,108,-9,1441,219,218,133,1774,Neota,C7202,0
2850,48,27,90,43,1471,219,170,70,1020,Commanche,C7757,1
1981,123,27,234,78,234,253,207,62,781,Cache,C2704,2
2718,153,8,30,-5,2210,231,241,142,751,Commanche,C4704,1
2721,139,18,319,92,2564,244,231,108,2190,Commanche,C4703,2
3228,205,13,815,14,474,212,251,172,2630,Commanche,C7202,1
3092,60,8,726,17,1341,227,223,131,2665,Commanche,C7757,1
2384,42,6,268,127,1370,221,227,141,997,Cache,C2703,2
2767,21,38,150,56,1413,167,133,78,1524,Commanche,C7755,1
3070,255,8,30,4,5449,202,246,182,2563,Rawah,C7202,1
2432,108,15,95,21,685,244,222,103,1558,Cache,C2717,2
2824,356,15,390,89,1867,196,213,154,966,Commanche,C4704,4
3387,149,15,470,169,3955,239,238,124,2794,Commanche,C8776,0
2613,129,23,67,24,1812,250,220,85,2832,Commanche,C2705,2
2327,327,23,268,99,1053,156,206,186,890,Cache,C4703,5
